last_name, first_name,ab,avg,slg,obp,SB,position
Cruz Jr., Nelson,448,0.234,0.337,0.312,4,DH
Blackmon, Charlie,530,0.264,0.419,0.312,4,RF
McCutchen, Andrew,515,0.237,0.384,0.316,8,OF
Turner, Justin,468,0.278,0.438,0.35,3,3B
Andrus, Elvis,535,0.249,0.404,0.303,18,SS
Santana, Carlos,431,0.202,0.376,0.316,0,IF
Gurriel, Yuli,545,0.242,0.36,0.288,8,FB
Rojas, Miguel,471,0.236,0.323,0.282,9,IF
Escobar, Eduardo,495,0.24,0.43,0.295,0,3B
Pham, Tommy,554,0.236,0.374,0.312,8,OF
Martinez, J.D.,533,0.274,0.448,0.341,0,OF
Goldschmidt, Paul,561,0.317,0.578,0.402,7,1B
Altuve, Jose,527,0.3,0.533,0.387,18,2B
Hernandez, Cesar,560,0.248,0.318,0.31,10,2B
Marte, Starling,466,0.292,0.468,0.347,18,CF
Donaldson, Josh,478,0.222,0.374,0.308,2,3B
Freeman, Freddie,612,0.325,0.511,0.407,13,1B
LeMahieu, DJ,467,0.261,0.377,0.357,4,2B
Rizzo, Anthony,465,0.224,0.48,0.338,6,1B
Flores, Wilmer,525,0.229,0.394,0.316,0,2B
Ozuna, Marcell,470,0.226,0.413,0.274,2,LF
Aguilar, Jesus,464,0.235,0.379,0.278,1,IF
Cron, C.J.,575,0.257,0.468,0.315,0,2B
Semien, Marcus,657,0.248,0.429,0.304,25,SS
Springer III, George,513,0.267,0.472,0.34,14,RF
Grichuk, Randal,506,0.259,0.425,0.299,4,CF
Abreu, Jose,601,0.304,0.446,0.378,0,1B
Suarez, Eugenio,543,0.236,0.459,0.332,0,3B
Urshela, Gio,501,0.285,0.429,0.338,1,3B
Schoop, Jonathan,481,0.202,0.322,0.239,5,2B
Arenado, Nolan,557,0.293,0.533,0.358,5,3B
Farmer, Kyle,526,0.255,0.386,0.314,4,3B
Muncy, Max,464,0.196,0.384,0.329,2,1B
Pollock, AJ,489,0.245,0.389,0.292,3,1B
Voit III, Luke,500,0.226,0.402,0.308,1,1B
Walker, Christian,583,0.242,0.477,0.327,2,1B
Yastrzemski, Mike,485,0.214,0.392,0.305,5,RF
Canha, Mark,462,0.266,0.403,0.367,3,LF
Castellanos, Nick,524,0.263,0.389,0.305,7,RF
Drury, Brandon,518,0.263,0.492,0.32,2,3B
Judge, Aaron,570,0.311,0.686,0.422,16,OF
Machado, Manny,578,0.298,0.531,0.366,9,3B
Realmuto, J.T.,504,0.276,0.478,0.342,21,C
Renfroe, Hunter,474,0.255,0.492,0.314,1,RF
Yelich, Christian,575,0.252,0.383,0.355,19,RF
Merrifield, Whit,504,0.25,0.375,0.298,16,2B
Bogaerts, Xander,557,0.307,0.456,0.377,8,SS
Profar, Jurickson,575,0.243,0.391,0.33,5,IF
Baez, Javier,555,0.238,0.393,0.278,9,SS
Lindor, Francisco,630,0.27,0.449,0.339,16,SS
Bell, Josh,552,0.266,0.422,0.36,0,IF
Betts, Mookie,572,0.269,0.533,0.34,12,RF
Hernandez, Teoscar,499,0.267,0.491,0.316,6,LF
Marte, Ketel,492,0.24,0.407,0.321,5,CF
Nimmo, Brandon,580,0.274,0.433,0.366,3,CF
Turner, Trea,652,0.298,0.466,0.342,27,SS
Ramirez, Jose,601,0.28,0.514,0.355,20,3B
Bregman, Alex,548,0.259,0.454,0.366,1,3B
Seager, Corey,593,0.245,0.455,0.317,3,SS
